ada	adamus
adam	ada
adam	addie
adriana	gabriela
adriana	margreta
agustina	bernardina
agustina	joaquina
agustina	kristina
agustin	valentin
alberta	abel
albert	abel
alberto	roberto
alejandro	leandro
alice	allan
alvina	antonina
amalia	eulalia
amalie	rosalie
amos	an
amy	amos
amy	an
ana	amy
ana	franca
anastacia	tiburcia
anastacio	tiburcio
andreas	gladys
andrew	mathew
andrew	matthew
ane	amy
angela	augusta
angela	franca
angela	jacoba
angelina	antonina
angelina	augustina
angelina	cristina
angelo	emilio
angelo	justo
angelo	lorenso
angelo	maximo
anna	amy
annae	alma
annae	emile
ann	amanda
ann	amelia
ann	amos
ann	amy
anne	amelia
anne	amy
annie	amanda
annie	emilie
annie	willie
anthony	margery
antonia	emilia
antonia	georgia
antonia	lucia
antonio	angelo
antonio	emilio
antonio	julio
antonio	mario
antonius	laurentius
archibald	leopold
augusta	flora
augusta	franca
augusta	jacoba
augusta	leona
augusta	marta
auguste	andre
auguste	elise
auguste	emile
auguste	mariae
augustina	alvina
augustina	antonina
augustin	alvin
augustin	carin
augustine	claudine
augustin	elin
augustine	rosine
augustin	vernon
augustus	bernardus
augustus	wilhelmus
benjamin	benita
benjamin	benito
bernarda	brigida
bernarda	leonarda
bernarda	margarida
bernard	conrad
bernardina	kristina
bernardino	antonino
bernardino	faustino
bernardino	florentino
bernardo	delosdolores
bernardo	eduardo
bernardo	leonardo
bernardo	ricardo
bernard	willard
bertha	bruce
betty	bell
betty	belle
blas	delas
bridget	violet
brigida	candida
brigida	margarida
calvin	marvin
carl	emile
carlos	amos
carlos	elias
carlos	marcos
carmen	christen
caroline	claudine
carolus	bernardus
carolus	magnus
carolus	theodorus
celia	georgia
charles	andres
charles	delosangeles
charles	delosreyes
charles	frances
charles	jules
charlotte	antoinette
charlotte	dorotea
charlotte	henriette
charlotte	scott
chen	chester
christen	willem
christiana	luciana
christiana	victoriana
christian	julian
christian	lilian
christina	angelina
christina	antonina
christina	augustina
christina	marina
christina	martina
christina	wilhelmina
christine	augustine
christine	claudine
christoph	gustaf
christoph	jph
clara	augusta
clara	dora
clara	jacoba
clara	josepha
clarence	constance
claude	annae
claude	emile
cora	jacoba
cornelius	bernardus
cornelius	theodorus
cristina	antonina
cristina	augustina
da	do
david	mildred
dean	delia
de	diego
dejesus	de
